Question,Philip,New Sexy Ayrton,Andy,Claire,Dave,Kevin,Pious ,Shane,Veronica,BINGPT,,
BAR-2,5,10,10,10,10,10,10,5,10,5,,
BAR-3,0,0,0,0,0,0,0,5,0,5,,
BAR-DNF,0,0,5,0,0,0,0,,0,0,,
CAN-1,0,10,5,0,0,0,5,5,0,0,,
CAN-2,0,0,0,0,10,10,0,0,0,0,,
CAN-3,5,0,5,5,5,0,5,5,5,5,,
CAN-DNF,,,5,5,,,5,,,,,
AUS-1,10,5,0,5,5,10,10,10,10,10,,
AUS-2,10,5,5,5,5,5,10,10,10,10,,
AUS-3,10,0,10,0,10,0,0,10,0,0,,
AUS-DNF,,,,,,,0,,,0,,
GBR-1,10,5,10,10,5,10,10,5,0,10,,
GBR-2,10,5,0,10,5,10,10,5,10,10,,
GBR-3,0,0,0,0,0,0,0,0,0,0,,
GBR-DNF,0,0,0,0,5,5,0,0,5,0,,
SPA-1,5,10,5,10,10,0,10,10,10,5,,
SPA-2,0,10,5,10,10,5,10,10,10,0,,
SPA-3,5,0,0,0,0,5,0,0,10,5,,
SPA-DNF,,5,,,,,,5,5,,,
HUN-1,5,5,5,5,5,5,5,5,5,5,,
HUN-2,5,5,0,5,5,5,5,5,5,5,,
HUN-3,0,10,5,10,0,0,10,0,0,0,,
HUN-DNF,,,,,,,,,,,,
NED-1,10,10,10,10,10,10,10,10,10,10,,
NED-2,0,0,0,0,0,0,0,0,10,0,,
NED-3,0,0,5,0,5,0,5,5,0,0,,
NED-DNF,5,,,,,,,,,5,,
MON-1,10,5,5,5,5,5,5,5,10,10,,
MON-2,5,5,5,10,10,5,10,5,5,5,,
MON-3,5,0,5,0,5,0,5,5,0,5,,
MON-DNF,0,,,,,,,,,0,,
BAK-1,10,10,10,10,10,10,10,10,10,10,,
BAK-2,10,0,0,10,0,10,0,0,0,0,,
BAK-3,0,0,5,0,5,0,0,0,5,0,,
BAK-DNF,0,0,0,0,0,0,0,0,0,0,,
SIN-1,0,10,5,10,5,5,5,5,5,5,,
SIN-2,10,10,5,0,0,0,5,5,0,0,,
SIN-3,10,0,0,10,5,5,0,0,5,5,,
SIN-DNF,,,,,,,,,5,,,
COTA-1,10,0,10,10,10,10,10,10,10,10,,
COTA-2,0,5,10,0,10,5,10,10,10,10,,
COTA-3,5,0,0,5,0,0,0,0,0,10,,
COTA-DNF,0,0,0,,,0,0,,0,0,,
MEX-1,10,0,5,10,10,5,10,10,5,10,,
MEX-2,10,5,5,10,10,10,5,10,5,10,,
MEX-3,0,0,0,10,0,0,0,10,0,0,,
MEX-DNF,0,0,5,,0,0,0,,0,0,,
BRA-1,10,10,5,10,10,10,10,10,10,10,,
BRA-2,0,0,5,0,0,0,10,0,0,10,,
BRA-3,10,0,0,10,0,0,0,10,0,0,,
BRA-DNF,0,0,0,,0,0,5,,0,0,,
LAS-1,0,0,5,0,10,10,0,0,0,0,,
LAS-2,5,5,0,5,0,0,5,0,5,5,,
LAS-3,0,5,5,0,5,5,5,5,5,0,,
LAS-DNF,0,,,,,,5,,0,0,,
QAT-1,10,0,5,0,5,10,0,0,5,0,,
QAT-2,10,5,0,10,5,0,5,0,5,10,,
QAT-3,0,0,5,5,0,0,5,5,0,5,,
QAT-DNF, ,,,,,5,,,0,0,,
ABD-1,10,10,5,5,10,10,10,5,10,10,,
ABD-2,10,10,5,10,5,10,5,0,5,5,,
ABD-3,10,0,5,5,5,0,5,5,5,5,,
ABD-DNF,0,0,0,5,,0,0,5,0,0,,
Result,590,550,475,550,590,545,520,595,555,570,,
,,,,,,,,,,,,
,10,,,,,,,,,,,
,20,,,,,,,,,,,
,50,,,,,,,,,,,
,80,,,,,,,,,,,
